month_released,rated,genre,runtime_minutes,belongs_to_collection,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,imdb_score,dir_acted,dir_animation_dept,dir_art_dept,dir_art_dir,dir_assistant_dir,dir_camera_dept,dir_casting_dept,dir_casting_dir,dir_cinematographer,dir_composer,dir_costume_designer,dir_editor,dir_editorial_dept,dir_location_management,dir_makeup_dept,dir_music_artist,dir_music_dept,dir_producer,dir_production_designer,dir_production_manager,dir_script_dept,dir_sound_dept,dir_soundtrack,dir_special_effects,dir_stunts,dir_visual_effects,dir_writer,non_dom_gross_usd,title_length,worldwide_roi,domestic_roi,non_dom_roi,success_level_ww
5,R,Drama,146.0,0,19000000,44568631,45613093,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1044462,11,1.4006891052631578,1.3457174210526315,-0.9450283157894737,2
6,R,Adventure,104.0,1,4500000,47923795,47923795,5.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,9.649732222222223,9.649732222222223,-1.0,2
7,PG,Comedy,88.0,1,3500000,83453539,83453539,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22.843868285714287,22.843868285714287,-1.0,2
7,R,Comedy,98.0,1,6000000,39846344,39849764,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3420,10,5.641627333333333,5.641057333333333,-0.99943,2
5,R,Horror,95.0,1,550000,39754601,59754601,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20000000,15,107.6447290909091,71.28109272727272,35.36363636363637,2
6,R,Action,133.0,1,27000000,57229890,57245093,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15203,18,1.1201886296296297,1.1196255555555557,-0.9994369259259259,2
11,R,Biography,129.0,0,18000000,23380203,23380513,8.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,310,11,0.2989173888888889,0.2989001666666667,-0.9999827777777778,1
5,R,Biography,100.0,0,10000000,15198912,15198912,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,15,0.5198912,0.5198912,-1.0,1
12,PG,Adventure,114.0,0,20000000,49823037,49823037,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1.49115185,1.49115185,-1.0,2
9,R,Drama,124.0,0,6200000,52302978,52302978,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,7.435964193548387,7.435964193548387,-1.0,2
1,R,Crime,104.0,0,6500000,31899000,31899000,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,15,3.9075384615384614,3.9075384615384614,-1.0,2
10,PG,Drama,103.0,0,5100000,9709597,9709597,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17,0.9038425490196078,0.9038425490196078,-1.0,1
2,R,Horror,89.0,0,1100000,21445318,21445868,6.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,550,7,18.496243636363637,18.495743636363635,-0.9995,2
11,R,Adventure,219.0,0,44000000,3484331,3484523,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,192,13,-0.9208062954545455,-0.9208106590909091,-0.9999956363636363,0
8,PG,Action,115.0,0,40000000,7000000,7000000,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,-0.825,-0.825,-1.0,0
10,R,Comedy,109.0,0,15000000,69847348,69847348,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,3.6564898666666665,3.6564898666666665,-1.0,2
6,R,Action,109.0,0,22000000,15716828,15716828,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,-0.2855987272727273,-0.2855987272727273,-1.0,0
6,PG,Biography,124.0,0,20000000,2000000,2000000,4.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,-0.9,-0.9,-1.0,0
7,R,Action,99.0,1,6000000,25244700,25275289,7.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30589,20,3.2125481666666666,3.20745,-0.9949018333333334,2
7,R,Crime,108.0,0,18000000,13747234,13747988,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,754,8,-0.2362228888888889,-0.23626477777777777,-0.9999581111111111,0
6,PG,Action,118.0,0,15000000,30000000,44400000,6.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14400000,19,1.96,1.0,-0.04,2
6,R,Comedy,106.0,0,10000000,85300000,85300000,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7.53,7.53,-1.0,2
11,PG,Adventure,116.0,0,12000000,37400000,37400000,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2.1166666666666667,2.1166666666666667,-1.0,2
5,PG,Comedy,107.0,0,6500000,42488161,42488161,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,5.536640153846154,5.536640153846154,-1.0,2
4,R,Horror,87.0,1,1250000,21722776,21722776,6.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,16.3782208,16.3782208,-1.0,2
6,PG,Action,127.0,1,28000000,54800000,195300000,6.7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140500000,18,5.975,0.9571428571428572,4.017857142857143,2
10,R,Horror,92.0,1,2500000,25533818,25533818,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,9.2135272,9.2135272,-1.0,2
12,PG,Drama,126.0,0,14000000,35856053,35856053,6.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1.5611466428571428,1.5611466428571428,-1.0,2
12,PG,Biography,195.0,0,33500000,50000000,50000130,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,130,4,0.49254119402985075,0.4925373134328358,-0.999996119402985,1
9,PG,Biography,125.0,0,5500000,61558162,61910507,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,352345,16,10.256455818181818,10.192393090909091,-0.9359372727272727,2
6,R,Comedy,92.0,0,11000000,31672000,31672000,6.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28,1.8792727272727272,1.8792727272727272,-1.0,2
4,R,Horror,91.0,1,1000000,17985000,17985130,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,130,11,16.98513,16.985,-0.99987,2
6,PG,Action,108.0,0,18000000,6000000,6000000,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,-0.6666666666666666,-0.6666666666666666,-1.0,0
9,R,Biography,129.0,0,5000000,19032000,25032000,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000000,14,4.0064,2.8064,0.2,2
3,R,Crime,122.0,0,12000000,12200000,44200000,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,32000000,30,2.683333333333333,0.016666666666666666,1.6666666666666667,2
8,PG,Adventure,110.0,0,3000000,5732587,5732587,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,0.9108623333333333,0.9108623333333333,-1.0,1
4,R,Action,99.0,0,5000000,14600000,19600000,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,10,2.92,1.92,0.0,2
7,PG,Comedy,98.0,0,20000000,18826490,18826490,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-0.0586755,-0.0586755,-1.0,0
5,R,Horror,96.0,0,250000,23894000,23894000,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14,94.576,94.576,-1.0,2
12,PG,Comedy,93.0,0,8000000,24474312,24474312,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2.059289,2.059289,-1.0,2
5,PG,Action,98.0,0,18000000,13400000,13400000,5.1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,-0.25555555555555554,-0.25555555555555554,-1.0,0
2,PG,Adventure,118.0,0,10000000,2000000,11400000,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9400000,6,0.14,-0.8,-0.06,1
12,PG,Comedy,78.0,0,10000000,6000000,6000000,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,-0.4,-0.4,-1.0,0
11,PG,Adventure,100.0,0,12000000,2104164,2104164,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,-0.824653,-0.824653,-1.0,0
8,R,Comedy,90.0,0,4500000,27092880,27093116,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,236,28,5.020692444444444,5.02064,-0.9999475555555556,2
6,R,Action,117.0,1,28000000,32656328,39538663,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6882335,12,0.41209510714285713,0.16629742857142857,-0.7542023214285715,1
5,R,Action,129.0,1,20000000,38264085,79114085,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,40850000,19,2.95570425,0.91320425,1.0425,2
6,PG,Family,115.0,0,10500000,439251124,797103542,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,357852418,26,74.91462304761905,40.83344038095238,33.08118266666666,2
10,R,Action,93.0,1,14000000,47212904,125212904,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78000000,11,7.943778857142857,2.3723502857142855,4.571428571428571,2
7,R,Drama,124.0,0,6000000,129795554,129795554,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26,20.632592333333335,20.632592333333335,-1.0,2
6,PG,Horror,114.0,1,10700000,74706019,121706019,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,47000000,11,10.37439429906542,5.981870934579439,3.392523364485981,2
6,PG,Action,113.0,1,12000000,78912963,95800000,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16887037,31,6.983333333333333,5.57608025,0.4072530833333333,2
12,PG,Biography,191.0,0,22000000,52767889,127767889,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75000000,6,4.807631318181818,1.398540409090909,2.409090909090909,2
12,PG,Comedy,116.0,0,15000000,177200000,177200262,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,262,7,10.8133508,10.813333333333333,-0.9999825333333333,2
7,PG,Action,96.0,1,17000000,26918576,26919100,6.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,524,4,0.5834764705882353,0.5834456470588235,-0.9999691764705883,1
