movie_title,release_date,month_released,rated,genre,runtime_minutes,belongs_to_collection,tagline,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,imdb_score,dir_acted,dir_animation_dept,dir_art_dept,dir_art_dir,dir_assistant_dir,dir_camera_dept,dir_casting_dept,dir_casting_dir,dir_cinematographer,dir_composer,dir_costume_designer,dir_editor,dir_editorial_dept,dir_location_management,dir_makeup_dept,dir_music_artist,dir_music_dept,dir_producer,dir_production_designer,dir_production_manager,dir_script_dept,dir_sound_dept,dir_soundtrack,dir_special_effects,dir_stunts,dir_visual_effects,dir_writer
The Shining,1980-05-22,5,R,Drama,146.0,0,A masterpiece of modern horror.,19000000,44568631,45613093,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
The Blue Lagoon,1980-07-05,6,R,Adventure,104.0,1,A sensuous story of natural love.,4500000,47923795,47923795,5.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Airplane!,1980-07-02,7,PG,Comedy,88.0,1,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?",3500000,83453539,83453539,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caddyshack,1980-07-25,7,R,Comedy,98.0,1,The snobs against the slobs!,6000000,39846344,39849764,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Friday the 13th,1980-05-09,5,R,Horror,95.0,1,"They were warned...They are doomed...And on Friday the 13th, nothing will save them.",550000,39754601,59754601,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
The Blues Brothers,1980-06-17,6,R,Action,133.0,1,They'll never get caught. They're on a mission from God.,27000000,57229890,57245093,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Raging Bull,1980-11-14,11,R,Biography,129.0,0,,18000000,23380203,23380513,8.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Long Riders,1980-05-12,5,R,Biography,100.0,0,"""All the world likes an outlaw. For some damn reason they remember 'em."" - Jesse James",10000000,15198912,15198912,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Popeye,1980-12-12,12,PG,Adventure,114.0,0,The sailor man with the spinach can!,20000000,49823037,49823037,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Ordinary People,1980-09-19,9,R,Drama,124.0,0,Everything is in its proper place...except the past.,6200000,52302978,52302978,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dressed to Kill,1980-06-25,1,R,Crime,104.0,0,The Latest Fashion In Murder,6500000,31899000,31899000,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Somewhere in Time,1980-10-02,10,PG,Drama,103.0,0,Beyond fantasy. Beyond obsession. Beyond time itself... he will find her.,5100000,9709597,9709597,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
The Fog,1980-02-08,2,R,Horror,89.0,0,Lock your doors. Bolt your windows. There's something in THE FOG!,1100000,21445318,21445868,6.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Heaven's Gate,1980-11-19,11,R,Adventure,219.0,0,The only thing greater than their passion for America... was their passion for each other.,44000000,3484331,3484523,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Raise the Titanic,1980-01-01,8,PG,Action,115.0,0,They've found the Titanic. There's just one thing left to do...,40000000,7000000,7000000,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Private Benjamin,1980-10-06,10,R,Comedy,109.0,0,,15000000,69847348,69847348,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Island,1980-06-13,6,R,Action,109.0,0,For three hundred years a terrifying secret has been kept from the outside world.,22000000,15716828,15716828,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
